Date,PM 2.5 [ug/m3],Mean,Median,Std,Min,Max,DayOfWeek,Month,DayOfYear,Trend,Seasonal,Resid
2022-01-01,4.934921,,,,,,5,1,1,24.212075219661447,-17.424580499296077,-1.8525737203653705
2022-01-02,10.341562,,,,,,6,1,2,23.920993961646435,-12.747473112672,-0.8319588489744341
2022-01-03,5.007348,,,,,,0,1,3,23.603978748850178,-15.34930023100207,-3.247330517848109
2022-01-04,9.688094,,,,,,1,1,4,23.258333628936423,-8.882772881635033,-4.687466747301389
2022-01-05,5.914476,,,,,,2,1,5,22.882370915161143,-16.43451281851687,-0.5333820966442744
2022-01-06,6.005189,,,,,,3,1,6,22.47590435776091,-14.440996579011246,-2.0297187787496647
2022-01-07,13.716152,,,,,,4,1,7,22.039761896211676,-6.731669430099025,-1.59194046611265
2022-01-08,19.322357,,,,,,5,1,8,21.576233705509598,-5.326121111709576,3.072244406199978
2022-01-09,33.909314,,,,,,6,1,9,21.089529519387135,6.880762374628473,5.939022105984392
2022-01-10,43.070916,,,,,,0,1,10,20.58555587207012,14.587450836232309,7.8979092916975695
2022-01-11,63.970798,,,,,,1,1,11,20.071812333295533,36.208623324817005,7.6903623418874645
2022-01-12,31.368494,,,,,,2,1,12,19.556338842334988,16.63276208623243,-4.820606928567418
2022-01-13,10.032802,,,,,,3,1,13,19.037655576240223,-10.583612583766328,1.5787590075261058
2022-01-14,10.323119,19.114681571428573,10.3323405,17.66348613038769,4.934921,63.970798,4,1,14,18.450242069185357,-8.23966013717425,0.1125370679888924
2022-01-15,13.733921,19.743181571428575,12.028856999999999,17.272344396981456,5.007348,63.970798,5,1,15,17.43484235606378,-8.132228001432921,4.431306645369144
2022-01-16,19.630789,20.40669778571429,13.7250365,17.060523667169683,5.007348,63.970798,6,1,16,16.399330162917742,-5.399850832420665,8.631309669502922
2022-01-17,4.735347,20.387269142857143,13.7250365,17.07955380967949,4.735347,63.970798,0,1,17,15.364019746340636,-10.163150918988615,-0.4655218273520223
2022-01-18,7.674305,20.243427071428574,13.7250365,17.184748379728244,4.735347,63.970798,1,1,18,14.35268430649348,-9.540971448685536,2.8625921421920566
2022-01-19,12.264329,20.696988,13.7250365,16.85816310226307,4.735347,63.970798,2,1,19,13.386258051257702,-2.5028123049068056,1.3808832536491042
2022-01-20,3.973222,20.5518475,13.7250365,17.002511334941406,3.973222,63.970798,3,1,20,12.488860183879314,-2.948146786036892,-5.5674913978424225
2022-01-21,4.190932,19.871474642857144,12.999125,17.480939540662018,3.973222,63.970798,4,1,21,11.671693011206873,1.6403541592147002,-9.121115170421573
2022-01-22,5.733206,18.900821,11.293724000000001,17.886352694004238,3.973222,63.970798,5,1,22,10.924255357282437,8.189472242072075,-13.380521599354513
2022-01-23,15.78446,17.60618857142857,11.293724000000001,17.36480256377563,3.973222,63.970798,6,1,23,10.235958510290533,18.957760687384333,-13.409259197674867
2022-01-24,27.958402,16.526723285714287,11.293724000000001,16.08242071963192,3.973222,63.970798,0,1,24,9.608330962207399,8.69477457346102,9.655296464331583
2022-01-25,7.365961,12.483520642857144,10.177960500000001,8.622376275383896,3.973222,31.368494,1,1,25,9.0564101588539,-4.72651092033307,3.0360617614791714
2022-01-26,6.712761,10.722396857142858,8.8535535,6.792119271405944,3.973222,27.958402,2,1,26,8.618407574554588,-4.321198178398392,2.415551603843804
2022-01-27,8.055299,10.581146642857144,7.864802,6.828030697911761,3.973222,27.958402,3,1,27,8.324887763627348,-1.8584888542879017,1.5889000906605535
2022-01-28,1.705395,9.96559492857143,7.520133,7.229713133637043,1.705395,27.958402,4,1,28,8.189961963061403,-2.220816587564349,-4.263750375497055
2022-01-29,6.984887,9.483521071428571,7.175424,7.183981012552877,1.705395,27.958402,5,1,29,8.201931331114215,-4.185194398206021,2.9681500670918055
2022-01-30,3.828081,8.354756214285713,6.8488240000000005,6.691579070872346,1.705395,27.958402,6,1,30,8.322324947825653,-4.735924600234013,0.24168065240836079
2022-01-31,12.754385,8.927544642857143,7.175424,6.701133051263297,1.705395,27.958402,0,1,31,8.502300526596423,1.5184344576316207,2.733650015771955
2022-02-01,9.561409,9.062337785714286,7.175424,6.692959561310003,1.705395,27.958402,1,2,32,8.682501565683518,0.87330417210703,0.005603262209451287
2022-02-02,4.100249,8.479189214285714,6.8488240000000005,6.747950718854877,1.705395,27.958402,2,2,33,8.83174043422136,-0.7408399310712825,-3.990651503150077
2022-02-03,13.117264,9.132335071428571,7.175424,6.720740056462666,1.705395,27.958402,3,2,34,8.96404885320716,4.733232288045383,-0.5800171412525437
2022-02-04,14.460542,9.865878642857142,7.71063,6.700330807836844,1.705395,27.958402,4,2,35,9.120923679397931,4.488849346112611,0.8507689744894584
2022-02-05,4.880536,9.804973642857144,7.71063,6.7445154605862925,1.705395,27.958402,5,2,36,9.325969678806135,1.7337610978002558,-6.179194776606391
2022-02-06,5.424843,9.065000999999999,7.175424,6.604868883330857,1.705395,27.958402,6,2,37,9.554953329388814,-2.3102819896969846,-1.8198283396918296
2022-02-07,6.477001,7.530615214285715,6.8488240000000005,3.7610574910161065,1.705395,14.460542,0,2,38,9.741723778857518,-3.192546670942745,-0.07217610791477291
2022-02-08,8.236814,7.592819,6.8488240000000005,3.76532387227621,1.705395,14.460542,1,2,39,9.844747438747468,-1.8781456667454228,0.2702122279979555
2022-02-09,9.161995,7.767764285714286,7.520092999999999,3.7781656061194497,1.705395,14.460542,2,2,40,9.864576797845382,-4.108344103149143,3.4057623053037602
